epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1.1095,0.59692,1.0727,0.78918,0.68891,0.74784,0.48089,1.0402,0.5194,1.0513,0.007822,0.007822,0.007822
47,1.1044,0.59695,1.0647,0.75388,0.70667,0.73908,0.47934,1.0382,0.52017,1.0517,0.0077725,0.0077725,0.0077725
48,1.0944,0.58944,1.0637,0.78677,0.68939,0.73957,0.47658,1.037,0.51815,1.0492,0.007723,0.007723,0.007723
49,1.0947,0.58628,1.0627,0.79068,0.68771,0.74534,0.4788,1.0334,0.51198,1.0481,0.0076735,0.0076735,0.0076735
50,1.083,0.58249,1.062,0.7932,0.69921,0.74673,0.48058,1.0289,0.51413,1.047,0.007624,0.007624,0.007624
51,1.0985,0.58944,1.0661,0.78043,0.7091,0.74983,0.48623,1.0283,0.50792,1.0467,0.0075745,0.0075745,0.0075745
52,1.0979,0.5906,1.0643,0.77651,0.70605,0.75049,0.48634,1.0294,0.50759,1.047,0.007525,0.007525,0.007525
53,1.0914,0.57886,1.0646,0.81036,0.68839,0.74947,0.48606,1.0256,0.50579,1.0455,0.0074755,0.0074755,0.0074755
54,1.0803,0.57829,1.0523,0.79192,0.69426,0.75162,0.48776,1.0237,0.50477,1.0447,0.007426,0.007426,0.007426
55,1.0741,0.57682,1.0615,0.77,0.70989,0.7515,0.48756,1.0221,0.50524,1.0439,0.0073765,0.0073765,0.0073765
56,1.0703,0.56547,1.0538,0.79726,0.70438,0.75548,0.48754,1.0235,0.50311,1.045,0.007327,0.007327,0.007327
57,1.0663,0.56178,1.057,0.79232,0.69787,0.75147,0.48711,1.0213,0.50347,1.0432,0.0072775,0.0072775,0.0072775
58,1.0575,0.56745,1.0448,0.78021,0.70819,0.75214,0.49028,1.0166,0.50048,1.0419,0.007228,0.007228,0.007228
59,1.0743,0.58113,1.0601,0.77561,0.70103,0.74847,0.48876,1.0138,0.50086,1.0411,0.0071785,0.0071785,0.0071785
60,1.0715,0.57347,1.0531,0.78074,0.69825,0.74973,0.48831,1.0127,0.49849,1.0405,0.007129,0.007129,0.007129
61,1.0655,0.56773,1.0496,0.79038,0.69745,0.75148,0.49023,1.0123,0.49886,1.0392,0.0070795,0.0070795,0.0070795
62,1.06,0.56393,1.0409,0.8165,0.68586,0.75136,0.4921,1.0088,0.49697,1.0378,0.00703,0.00703,0.00703
63,1.057,0.55934,1.0543,0.78094,0.70635,0.7519,0.48939,1.0103,0.49516,1.0392,0.0069805,0.0069805,0.0069805
64,1.078,0.56606,1.0624,0.80522,0.69584,0.75471,0.49068,1.01,0.49465,1.0394,0.006931,0.006931,0.006931
65,1.0493,0.5572,1.0457,0.8014,0.69857,0.75733,0.4911,1.0089,0.49406,1.0402,0.0068815,0.0068815,0.0068815
66,1.0283,0.54882,1.0386,0.79173,0.71407,0.75878,0.49468,1.0049,0.49254,1.0374,0.006832,0.006832,0.006832
67,1.0541,0.55626,1.0503,0.7723,0.72292,0.76002,0.49743,1.0017,0.48965,1.0362,0.0067825,0.0067825,0.0067825
68,1.0639,0.56247,1.0511,0.78612,0.71723,0.75977,0.4979,1.0023,0.48777,1.0363,0.006733,0.006733,0.006733
69,1.0638,0.57123,1.0561,0.78851,0.71407,0.75727,0.49803,1.0018,0.48667,1.0359,0.0066835,0.0066835,0.0066835
70,1.0587,0.55921,1.046,0.76843,0.72702,0.75925,0.49844,0.99959,0.48623,1.0358,0.006634,0.006634,0.006634
71,1.0544,0.54662,1.0511,0.76717,0.72401,0.75918,0.49851,0.99841,0.48558,1.0361,0.0065845,0.0065845,0.0065845
72,1.0414,0.54553,1.047,0.77833,0.72301,0.76023,0.49912,0.99897,0.48609,1.0359,0.006535,0.006535,0.006535
73,1.0344,0.53958,1.0397,0.76875,0.7347,0.7603,0.49974,0.9968,0.48569,1.035,0.0064855,0.0064855,0.0064855
74,1.0474,0.54704,1.0423,0.77469,0.72468,0.76162,0.4998,0.99493,0.48471,1.0341,0.006436,0.006436,0.006436
75,1.0156,0.52587,1.0341,0.77678,0.72524,0.76274,0.5002,0.99405,0.48421,1.0334,0.0063865,0.0063865,0.0063865
