epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1.0785,0.58932,1.0056,0.7813,0.70088,0.75322,0.49127,1.0158,0.51296,0.99282,0.007822,0.007822,0.007822
47,1.0768,0.5917,1.0013,0.80038,0.69712,0.75227,0.49288,1.0148,0.51656,0.99046,0.0077725,0.0077725,0.0077725
48,1.0755,0.5857,1.0003,0.83737,0.67571,0.75614,0.4928,1.0146,0.51392,0.98883,0.007723,0.007723,0.007723
49,1.0628,0.57429,0.99566,0.77234,0.70026,0.74817,0.48849,1.0139,0.51201,0.98942,0.0076735,0.0076735,0.0076735
50,1.0568,0.57911,0.99628,0.80149,0.70277,0.75953,0.49705,1.0047,0.50822,0.98474,0.007624,0.007624,0.007624
51,1.0705,0.58134,0.99961,0.79673,0.71354,0.75869,0.49662,1.0036,0.50317,0.98684,0.0075745,0.0075745,0.0075745
52,1.0668,0.58056,0.99664,0.79373,0.70864,0.75754,0.49686,1.0077,0.50176,0.98692,0.007525,0.007525,0.007525
53,1.0621,0.57274,0.99799,0.79328,0.71316,0.75658,0.49918,1.0018,0.50224,0.9841,0.0074755,0.0074755,0.0074755
54,1.0539,0.5735,0.98592,0.78793,0.71258,0.75583,0.49724,0.99798,0.50038,0.98512,0.007426,0.007426,0.007426
55,1.0435,0.57074,0.9958,0.8017,0.69864,0.7574,0.49893,1.0006,0.50074,0.9857,0.0073765,0.0073765,0.0073765
56,1.0457,0.55931,0.99252,0.81452,0.68596,0.75506,0.49777,1.0009,0.5006,0.98553,0.007327,0.007327,0.007327
57,1.0494,0.55669,0.99404,0.79211,0.7149,0.76114,0.50142,0.99797,0.49809,0.98395,0.0072775,0.0072775,0.0072775
58,1.0333,0.5555,0.98189,0.80196,0.70206,0.75782,0.50125,0.9945,0.49635,0.98254,0.007228,0.007228,0.007228
59,1.0523,0.56799,0.99719,0.79686,0.7103,0.76234,0.50222,0.99329,0.49436,0.98222,0.0071785,0.0071785,0.0071785
60,1.0358,0.56041,0.98835,0.81969,0.68988,0.76019,0.50214,0.99586,0.49443,0.98369,0.007129,0.007129,0.007129
61,1.0315,0.55959,0.98598,0.80085,0.70578,0.7598,0.50284,0.99339,0.48978,0.98148,0.0070795,0.0070795,0.0070795
62,1.0393,0.55281,0.98477,0.79738,0.70899,0.76192,0.50405,0.99044,0.49008,0.98063,0.00703,0.00703,0.00703
63,1.035,0.55121,0.99075,0.81563,0.70528,0.76256,0.50476,0.99114,0.4874,0.9789,0.0069805,0.0069805,0.0069805
64,1.0567,0.55313,0.99838,0.81613,0.69746,0.76352,0.5055,0.98985,0.48664,0.97854,0.006931,0.006931,0.006931
65,1.0238,0.55206,0.98304,0.79473,0.71436,0.763,0.50609,0.98864,0.48748,0.97941,0.0068815,0.0068815,0.0068815
66,1.0026,0.53891,0.9751,0.8068,0.71951,0.7681,0.51093,0.98664,0.48644,0.97825,0.006832,0.006832,0.006832
67,1.0309,0.54885,0.98684,0.81341,0.71837,0.76929,0.51164,0.98546,0.48516,0.97752,0.0067825,0.0067825,0.0067825
68,1.0389,0.55083,0.98556,0.81034,0.71831,0.76723,0.50932,0.98384,0.48406,0.97707,0.006733,0.006733,0.006733
69,1.0308,0.5613,0.98649,0.79087,0.72468,0.76738,0.50721,0.98417,0.48359,0.97665,0.0066835,0.0066835,0.0066835
70,1.0383,0.54553,0.98428,0.79608,0.72691,0.7672,0.51004,0.98224,0.48265,0.97655,0.006634,0.006634,0.006634
71,1.0327,0.53718,0.98913,0.79736,0.71972,0.76944,0.50888,0.98145,0.48208,0.97632,0.0065845,0.0065845,0.0065845
72,1.0136,0.53648,0.9827,0.78903,0.73607,0.76974,0.51088,0.98039,0.48083,0.97581,0.006535,0.006535,0.006535
73,1.0116,0.52688,0.97924,0.8008,0.73686,0.77053,0.5113,0.97971,0.47953,0.97587,0.0064855,0.0064855,0.0064855
74,1.0178,0.53374,0.9781,0.79948,0.72529,0.7687,0.51238,0.9796,0.47871,0.97622,0.006436,0.006436,0.006436
75,0.99005,0.5189,0.97193,0.80244,0.72544,0.77034,0.51237,0.97808,0.47779,0.97538,0.0063865,0.0063865,0.0063865
76,1.0112,0.52931,0.97559,0.80378,0.72503,0.77075,0.51304,0.97794,0.47692,0.97599,0.006337,0.006337,0.006337
77,1.014,0.52728,0.9773,0.79751,0.72554,0.77067,0.51416,0.97733,0.47595,0.9757,0.0062875,0.0062875,0.0062875
78,1.0015,0.52962,0.9767,0.79402,0.72523,0.77209,0.51413,0.97718,0.47403,0.97541,0.006238,0.006238,0.006238
79,0.99817,0.52711,0.97344,0.79623,0.73289,0.77242,0.51491,0.97554,0.47322,0.97516,0.0061885,0.0061885,0.0061885
80,1.0174,0.52325,0.9779,0.78898,0.73013,0.77145,0.51493,0.97538,0.47348,0.97499,0.006139,0.006139,0.006139
81,1.0099,0.52902,0.97695,0.79375,0.73487,0.77629,0.51546,0.97471,0.47209,0.97494,0.0060895,0.0060895,0.0060895
82,0.99848,0.52089,0.97386,0.80189,0.72839,0.77531,0.5154,0.97443,0.47148,0.97448,0.00604,0.00604,0.00604
